measurement_id,cell_id,event_ts,availability_pct,signal_strength_dbm,sinr_db,latency_ms,downlink_mbps,uplink_mbps,packet_loss_pct,dropped_calls,active_users,data_traffic_gb,ingestion_batch_id
MED-00000001,,2026-08-01 00:00:00,105.0,-145.0,21.83,650.0,,14.46,0.31,1,339,21.91,BATCH-20260801-00
MED-00000002,CEL-00002,2026-08-01 00:00:00,99.837,-78.99,21.16,45.12,175.33,33.95,0.88,1,438,41.15,BATCH-20260801-00
MED-00000003,CEL-00003,2026-08-01 00:00:00,99.984,-84.67,19.77,56.83,177.2,31.68,1.04,3,529,62.59,BATCH-20260801-00
MED-00000004,CEL-00004,2026-08-01 00:00:00,99.972,-89.74,24.64,54.64,73.96,13.53,0.15,1,279,21.46,BATCH-20260801-00
MED-00000005,CEL-00005,2026-08-01 00:00:00,99.926,-82.72,21.64,55.83,172.45,30.02,0.73,1,518,55.29,BATCH-20260801-00
MED-00000006,CEL-00006,2026-08-01 00:00:00,99.999,-81.42,18.27,48.41,174.46,33.51,0.92,1,494,49.92,BATCH-20260801-00
MED-00000007,CEL-00007,2026-08-01 00:00:00,99.929,-88.25,19.08,65.25,79.67,16.42,0.77,1,481,44.89,BATCH-20260801-00
MED-00000008,CEL-00008,2026-08-01 00:00:00,99.988,-88.56,23.35,52.63,87.6,16.98,0.55,0,267,36.29,BATCH-20260801-00
MED-00000009,CEL-00009,2026-08-01 00:00:00,99.856,-92.94,22.89,71.79,62.08,10.32,0.29,2,415,34.77,BATCH-20260801-00
MED-00000010,CEL-00010,2026-08-01 00:00:00,99.948,-94.99,14.56,81.62,57.21,12.45,0.29,0,382,43.84,BATCH-20260801-00
MED-00000011,CEL-00011,2026-08-01 00:00:00,99.849,-84.89,18.73,41.57,168.97,31.51,0.73,2,424,45.79,BATCH-20260801-00
MED-00000012,CEL-00012,2026-08-01 00:00:00,99.807,-85.64,19.76,49.23,169.49,30.92,0.5,1,493,31.93,BATCH-20260801-00
MED-00000013,CEL-00013,2026-08-01 00:00:00,99.895,-77.91,21.7,50.83,80.37,13.27,0.51,1,305,19.7,BATCH-20260801-00
MED-00000014,CEL-00014,2026-08-01 00:00:00,99.969,-76.18,18.9,51.56,175.1,32.49,0.48,3,557,45.07,BATCH-20260801-00
MED-00000015,CEL-00015,2026-08-01 00:00:00,99.871,-81.18,22.5,58.89,157.55,27.75,0.75,2,550,69.64,BATCH-20260801-00
MED-00000016,CEL-00016,2026-08-01 00:00:00,99.894,-87.57,22.72,58.21,71.49,13.5,0.36,2,415,25.95,BATCH-20260801-00
MED-00000017,CEL-00017,2026-08-01 00:00:00,99.907,-79.16,24.62,56.05,75.72,11.29,0.25,2,254,35.08,BATCH-20260801-00
