survey_id,customer_id,subscription_id,response_date,survey_trigger,nps_score,csat_score,experience_area,feedback_category,survey_channel
ENC-000001,CLI-999999,SUB-999999,2026-08-01,Periódica,12,7,Red,Cobertura insuficiente,App
ENC-000002,CLI-000024,SUB-000024,2026-08-04,Cierre de ticket,0,1,Red,Velocidad variable,Web
ENC-000003,CLI-000047,SUB-000047,2026-08-07,Alta,5,3,Atención,Atención satisfactoria,SMS
ENC-000004,CLI-000070,SUB-000070,2026-08-10,Cambio de plan,10,5,Producto,Plan adecuado,App
ENC-000005,CLI-000093,SUB-000093,2026-08-13,Periódica,9,5,Facturación,Cobro claro,Web
ENC-000006,CLI-000116,SUB-000116,2026-08-02,Cierre de ticket,3,2,App,App fácil de usar,SMS
ENC-000007,CLI-000139,SUB-000139,2026-08-05,Alta,2,2,Red,Cobertura insuficiente,App
ENC-000008,CLI-000162,SUB-000162,2026-08-08,Cambio de plan,7,4,Red,Velocidad variable,Web
ENC-000009,CLI-000185,SUB-000185,2026-08-11,Periódica,1,1,Atención,Atención satisfactoria,SMS
ENC-000010,CLI-000208,SUB-000208,2026-08-14,Cierre de ticket,0,1,Producto,Plan adecuado,App
ENC-000011,CLI-000231,SUB-000231,2026-08-03,Alta,5,3,Facturación,Cobro claro,Web
ENC-000012,CLI-000254,SUB-000254,2026-08-06,Cambio de plan,4,3,App,App fácil de usar,SMS
ENC-000013,CLI-000277,SUB-000277,2026-08-09,Periódica,9,5,Red,Cobertura insuficiente,App
ENC-000014,CLI-000300,SUB-000300,2026-08-12,Cierre de ticket,3,2,Red,Velocidad variable,Web
ENC-000015,CLI-000323,SUB-000323,2026-08-01,Alta,2,2,Atención,Atención satisfactoria,SMS
ENC-000016,CLI-000346,SUB-000346,2026-08-04,Cambio de plan,7,4,Producto,Plan adecuado,App
ENC-000017,CLI-000369,SUB-000369,2026-08-07,Periódica,6,4,Facturación,Cobro claro,Web
ENC-000018,CLI-000392,SUB-000392,2026-08-10,Cierre de ticket,0,1,App,App fácil de usar,SMS
ENC-000019,CLI-000415,SUB-000415,2026-08-13,Alta,5,3,Red,Cobertura insuficiente,App
ENC-000020,CLI-000438,SUB-000438,2026-08-02,Cambio de plan,4,3,Red,Velocidad variable,Web
ENC-000021,CLI-000461,SUB-000461,2026-08-05,Periódica,9,5,Atención,Atención satisfactoria,SMS
ENC-000022,CLI-000484,SUB-000484,2026-08-08,Cierre de ticket,8,5,Producto,Plan adecuado,App
ENC-000023,CLI-000507,SUB-000507,2026-08-11,Alta,2,2,Facturación,Cobro claro,Web
ENC-000024,CLI-000530,SUB-000530,2026-08-14,Cambio de plan,7,4,App,App fácil de usar,SMS
ENC-000025,CLI-000553,SUB-000553,2026-08-03,Periódica,6,4,Red,Cobertura insuficiente,App
ENC-000026,CLI-000576,SUB-000576,2026-08-06,Cierre de ticket,0,1,Red,Velocidad variable,Web
ENC-000027,CLI-000599,SUB-000599,2026-08-09,Alta,10,5,Atención,Atención satisfactoria,SMS
ENC-000028,CLI-000622,SUB-000622,2026-08-12,Cambio de plan,4,3,Producto,Plan adecuado,App
ENC-000029,CLI-000645,SUB-000645,2026-08-01,Periódica,9,5,Facturación,Cobro claro,Web
ENC-000030,CLI-000668,SUB-000668,2026-08-04,Cierre de ticket,8,5,App,App fácil de usar,SMS
ENC-000031,CLI-000691,SUB-000691,2026-08-07,Alta,2,2,Red,Cobertura insuficiente,App
ENC-000032,CLI-000714,SUB-000714,2026-08-10,Cambio de plan,1,1,Red,Velocidad variable,Web
ENC-000033,CLI-000737,SUB-000737,2026-08-13,Periódica,6,4,Atención,Atención satisfactoria,SMS
ENC-000034,CLI-000760,SUB-000760,2026-08-02,Cierre de ticket,0,1,Producto,Plan adecuado,App
ENC-000035,CLI-000783,SUB-000783,2026-08-05,Alta,10,5,Facturación,Cobro claro,Web
ENC-000036,CLI-000806,SUB-000806,2026-08-08,Cambio de plan,4,3,App,App fácil de usar,SMS
ENC-000037,CLI-000829,SUB-000829,2026-08-11,Periódica,3,2,Red,Cobertura insuficiente,App
ENC-000038,CLI-000852,SUB-000852,2026-08-14,Cierre de ticket,8,5,Red,Velocidad variable,Web
ENC-000039,CLI-000875,SUB-000875,2026-08-03,Alta,2,2,Atención,Atención satisfactoria,SMS
ENC-000040,CLI-000898,SUB-000898,2026-08-06,Cambio de plan,1,1,Producto,Plan adecuado,App
ENC-000041,CLI-000921,SUB-000921,2026-08-09,Periódica,6,4,Facturación,Cobro claro,Web
ENC-000042,CLI-000944,SUB-000944,2026-08-12,Cierre de ticket,5,3,App,App fácil de usar,SMS
ENC-000043,CLI-000967,SUB-000967,2026-08-01,Alta,10,5,Red,Cobertura insuficiente,App
ENC-000044,CLI-000990,SUB-000990,2026-08-04,Cambio de plan,4,3,Red,Velocidad variable,Web
ENC-000045,CLI-001013,SUB-001013,2026-08-07,Periódica,3,2,Atención,Atención satisfactoria,SMS
ENC-000046,CLI-001036,SUB-001036,2026-08-10,Cierre de ticket,8,5,Producto,Plan adecuado,App
ENC-000047,CLI-001059,SUB-001059,2026-08-13,Alta,7,4,Facturación,Cobro claro,Web
ENC-000048,CLI-001082,SUB-001082,2026-08-02,Cambio de plan,1,1,App,App fácil de usar,SMS
ENC-000049,CLI-001105,SUB-001105,2026-08-05,Periódica,6,4,Red,Cobertura insuficiente,App
ENC-000050,CLI-001128,SUB-001128,2026-08-08,Cierre de ticket,5,3,Red,Velocidad variable,Web
ENC-000051,CLI-001151,SUB-001151,2026-08-11,Alta,10,5,Atención,Atención satisfactoria,SMS
ENC-000052,CLI-001174,SUB-001174,2026-08-14,Cambio de plan,9,5,Producto,Plan adecuado,App
ENC-000053,CLI-001197,SUB-001197,2026-08-03,Periódica,3,2,Facturación,Cobro claro,Web
ENC-000054,CLI-001220,SUB-001220,2026-08-06,Cierre de ticket,8,5,App,App fácil de usar,SMS
ENC-000055,CLI-001243,SUB-001243,2026-08-09,Alta,7,4,Red,Cobertura insuficiente,App
ENC-000056,CLI-001266,SUB-001266,2026-08-12,Cambio de plan,1,1,Red,Velocidad variable,Web
ENC-000057,CLI-001289,SUB-001289,2026-08-01,Periódica,0,1,Atención,Atención satisfactoria,SMS
ENC-000058,CLI-001312,SUB-001312,2026-08-04,Cierre de ticket,5,3,Producto,Plan adecuado,App
ENC-000059,CLI-001335,SUB-001335,2026-08-07,Alta,10,5,Facturación,Cobro claro,Web
ENC-000060,CLI-001358,SUB-001358,2026-08-10,Cambio de plan,9,5,App,App fácil de usar,SMS
ENC-000061,CLI-001381,SUB-001381,2026-08-13,Periódica,3,2,Red,Cobertura insuficiente,App
ENC-000062,CLI-001404,SUB-001404,2026-08-02,Cierre de ticket,2,2,Red,Velocidad variable,Web
ENC-000063,CLI-001427,SUB-001427,2026-08-05,Alta,7,4,Atención,Atención satisfactoria,SMS
