customer_id,customer_type,customer_segment,region,commune,age_band,created_date,acquisition_channel,preferred_channel,digital_engagement_score,analytics_consent,customer_status
CLI-000001,Persona,,Región Metropolitana de Santiago,Comuna desconocida,18-24,2018-01-01,Digital,App,130,true,Baja
CLI-000002,Persona,Prepago,Antofagasta,Antofagasta,25-34,2018-02-07,Digital,Tienda,46,true,Activo
CLI-000003,Persona,Postpago,Valparaíso,Valparaíso,25-34,2018-03-16,Tienda,Call center,63,true,Activo
CLI-000004,Persona,Postpago,Coquimbo,La Serena,35-44,2018-04-22,Call center,WhatsApp,80,true,Activo
CLI-000005,Persona,Postpago,Biobío,Concepción,45-54,2018-05-29,Distribuidor,Web,97,true,Activo
CLI-000006,Persona,Prepago,Los Lagos,Puerto Montt,55+,2018-07-05,Digital,App,13,true,Activo
CLI-000007,Persona,Prepago,La Araucanía,Temuco,18-24,2018-08-11,Digital,App,30,true,Activo
CLI-000008,Persona,Postpago,Región Metropolitana de Santiago,Puente Alto,25-34,2018-09-17,Tienda,Tienda,47,true,Activo
CLI-000009,Persona,Postpago,Antofagasta,Calama,25-34,2018-10-24,Call center,Call center,64,false,Activo
CLI-000010,Empresa,Corporativo,Valparaíso,Viña del Mar,,2018-11-30,Distribuidor,WhatsApp,81,false,Activo
CLI-000011,Persona,Prepago,Maule,Talca,45-54,2019-01-06,Digital,Web,98,true,Activo
CLI-000012,Persona,Prepago,Biobío,Talcahuano,55+,2019-02-12,Digital,App,14,true,Activo
CLI-000013,Persona,Postpago,Región Metropolitana de Santiago,Santiago,18-24,2019-03-21,Tienda,App,31,true,Activo
CLI-000014,Persona,Postpago,Antofagasta,Antofagasta,25-34,2019-04-27,Call center,Tienda,48,true,Activo
CLI-000015,Persona,Postpago,Valparaíso,Valparaíso,25-34,2019-06-03,Distribuidor,Call center,65,true,Activo
CLI-000016,Persona,Prepago,Coquimbo,La Serena,35-44,2019-07-10,Digital,WhatsApp,82,true,Activo
CLI-000017,Persona,Prepago,Biobío,Concepción,45-54,2019-08-16,Digital,Web,99,true,Activo
CLI-000018,Persona,Postpago,Los Lagos,Puerto Montt,55+,2019-09-22,Tienda,App,15,true,Activo
CLI-000019,Persona,Postpago,La Araucanía,Temuco,18-24,2019-10-29,Call center,App,32,false,Activo
CLI-000020,Empresa,Pyme,Región Metropolitana de Santiago,Puente Alto,,2019-12-05,Distribuidor,Tienda,49,false,Activo
CLI-000021,Persona,Prepago,Antofagasta,Calama,25-34,2020-01-11,Digital,Call center,66,true,Activo
CLI-000022,Persona,Prepago,Valparaíso,Viña del Mar,35-44,2020-02-17,Digital,WhatsApp,83,true,Activo
CLI-000023,Persona,Postpago,Maule,Talca,45-54,2020-03-25,Tienda,Web,100,true,Activo
CLI-000024,Persona,Postpago,Biobío,Talcahuano,55+,2020-05-01,Call center,App,16,true,Activo
CLI-000025,Persona,Postpago,Región Metropolitana de Santiago,Santiago,18-24,2020-06-07,Distribuidor,App,33,true,Activo
CLI-000026,Persona,Prepago,Antofagasta,Antofagasta,25-34,2020-07-14,Digital,Tienda,50,true,Activo
CLI-000027,Persona,Prepago,Valparaíso,Valparaíso,25-34,2020-08-20,Digital,Call center,67,true,Activo
CLI-000028,Persona,Postpago,Coquimbo,La Serena,35-44,2020-09-26,Tienda,WhatsApp,84,true,Activo
CLI-000029,Persona,Postpago,Biobío,Concepción,45-54,2020-11-02,Call center,Web,0,false,Activo
CLI-000030,Empresa,Pyme,Los Lagos,Puerto Montt,,2020-12-09,Distribuidor,App,17,false,Activo
CLI-000031,Persona,Prepago,La Araucanía,Temuco,18-24,2021-01-15,Digital,App,34,true,Activo
CLI-000032,Persona,Prepago,Región Metropolitana de Santiago,Puente Alto,25-34,2021-02-21,Digital,Tienda,51,true,Activo
CLI-000033,Persona,Postpago,Antofagasta,Calama,25-34,2021-03-30,Tienda,Call center,68,true,Activo
CLI-000034,Persona,Postpago,Valparaíso,Viña del Mar,35-44,2021-05-06,Call center,WhatsApp,85,true,Activo
CLI-000035,Persona,Postpago,Maule,Talca,45-54,2021-06-12,Distribuidor,Web,1,true,Activo
CLI-000036,Persona,Prepago,Biobío,Talcahuano,55+,2021-07-19,Digital,App,18,true,Activo
CLI-000037,Persona,Prepago,Región Metropolitana de Santiago,Santiago,18-24,2021-08-25,Digital,App,35,true,Activo
CLI-000038,Persona,Postpago,Antofagasta,Antofagasta,25-34,2021-10-01,Tienda,Tienda,52,true,Activo
CLI-000039,Persona,Postpago,Valparaíso,Valparaíso,25-34,2021-11-07,Call center,Call center,69,false,Activo
CLI-000040,Empresa,Corporativo,Coquimbo,La Serena,,2021-12-14,Distribuidor,WhatsApp,86,false,Activo
CLI-000041,Persona,Prepago,Biobío,Concepción,45-54,2022-01-20,Digital,Web,2,true,Activo
CLI-000042,Persona,Prepago,Los Lagos,Puerto Montt,55+,2022-02-26,Digital,App,19,true,Activo
CLI-000043,Persona,Postpago,La Araucanía,Temuco,18-24,2022-04-04,Tienda,App,36,true,Activo
CLI-000044,Persona,Postpago,Región Metropolitana de Santiago,Puente Alto,25-34,2022-05-11,Call center,Tienda,53,true,Suspendido
CLI-000045,Persona,Postpago,Antofagasta,Calama,25-34,2022-06-17,Distribuidor,Call center,70,true,Activo
CLI-000046,Persona,Prepago,Valparaíso,Viña del Mar,35-44,2022-07-24,Digital,WhatsApp,87,true,Activo
CLI-000047,Persona,Prepago,Maule,Talca,45-54,2022-08-30,Digital,Web,3,true,Activo
CLI-000048,Persona,Postpago,Biobío,Talcahuano,55+,2022-10-06,Tienda,App,20,true,Activo
CLI-000049,Persona,Postpago,Región Metropolitana de Santiago,Santiago,18-24,2022-11-12,Call center,App,37,false,Activo
CLI-000050,Empresa,Pyme,Antofagasta,Antofagasta,,2022-12-19,Distribuidor,Tienda,54,false,Activo
CLI-000051,Persona,Prepago,Valparaíso,Valparaíso,25-34,2023-01-25,Digital,Call center,71,true,Activo
CLI-000052,Persona,Prepago,Coquimbo,La Serena,35-44,2023-03-03,Digital,WhatsApp,88,true,Activo
CLI-000053,Persona,Postpago,Biobío,Concepción,45-54,2023-04-09,Tienda,Web,4,true,Activo
