work_order_id,site_id,alarm_id,created_at,scheduled_at,completed_at,order_type,priority,order_status,provider_code,downtime_minutes,cost_clp,sla_target_hours
OT-00001,SIT-9999,ALM-000001,2026-08-01 00:00:00,2026-08-01 06:00:00,2026-07-31 23:00:00,Preventiva,PX,Creada,PRV-01,0,-25000.00,2
OT-00002,SIT-0008,ALM-000004,2026-08-01 00:20:29,2026-08-01 06:20:29,,Correctiva,P2,Asignada,PRV-02,47,527115.71,8
OT-00003,SIT-0015,ALM-000007,2026-08-01 00:40:58,2026-08-01 06:40:58,,Correctiva,P2,En terreno,PRV-03,94,1801173.98,8
OT-00004,SIT-0022,ALM-000010,2026-08-01 01:01:27,2026-08-01 07:01:27,2026-08-02 17:01:27,Emergencia,P3,Completada,PRV-04,141,242087.30,24
OT-00005,SIT-0029,ALM-000013,2026-08-01 01:21:56,2026-08-01 07:21:56,2026-08-03 04:21:56,Preventiva,P3,Completada,PRV-05,188,953222.62,24
OT-00006,SIT-0036,ALM-000016,2026-08-01 01:42:25,2026-08-01 07:42:25,,Correctiva,P4,Cancelada,PRV-01,235,541698.21,72
OT-00007,SIT-0043,ALM-000019,2026-08-01 02:02:54,2026-08-01 08:02:54,,Correctiva,P1,Creada,PRV-02,282,3540246.95,2
OT-00008,SIT-0050,ALM-000022,2026-08-01 02:23:23,2026-08-01 08:23:23,,Emergencia,P2,Asignada,PRV-03,329,154752.94,8
OT-00009,SIT-0057,ALM-000025,2026-08-01 02:43:52,2026-08-01 08:43:52,,Preventiva,P2,En terreno,PRV-04,376,3137926.37,8
OT-00010,SIT-0004,ALM-000028,2026-08-01 03:04:21,2026-08-01 09:04:21,2026-08-01 13:04:21,Correctiva,P3,Completada,PRV-05,423,1556835.41,24
OT-00011,SIT-0011,ALM-000031,2026-08-01 03:24:50,2026-08-01 09:24:50,2026-08-02 00:24:50,Correctiva,P3,Completada,PRV-01,470,426937.84,24
OT-00012,SIT-0018,ALM-000034,2026-08-01 03:45:19,2026-08-01 09:45:19,,Emergencia,P4,Cancelada,PRV-02,517,987083.18,72
OT-00013,SIT-0025,ALM-000037,2026-08-01 04:05:48,2026-08-01 10:05:48,,Preventiva,P1,Creada,PRV-03,564,333482.28,2
OT-00014,SIT-0032,,2026-08-01 04:26:17,2026-08-01 10:26:17,,Correctiva,P2,Asignada,PRV-04,611,1801776.19,8
OT-00015,SIT-0039,,2026-08-01 04:46:46,2026-08-01 10:46:46,,Correctiva,P2,En terreno,PRV-05,658,1288101.19,8
OT-00016,SIT-0046,,2026-08-01 05:07:15,2026-08-01 11:07:15,2026-08-02 09:07:15,Emergencia,P3,Completada,PRV-01,705,1162114.14,24
OT-00017,SIT-0053,,2026-08-01 05:27:44,2026-08-01 11:27:44,2026-08-02 20:27:44,Preventiva,P3,Completada,PRV-02,31,140626.45,24
OT-00018,SIT-0060,,2026-08-01 05:48:13,2026-08-01 11:48:13,,Correctiva,P4,Cancelada,PRV-03,78,820267.32,72
OT-00019,SIT-0007,,2026-08-01 06:08:42,2026-08-01 12:08:42,,Correctiva,P1,Creada,PRV-04,125,156364.55,2
OT-00020,SIT-0014,,2026-08-01 06:29:11,2026-08-01 12:29:11,,Emergencia,P2,Asignada,PRV-05,172,1847964.53,8
OT-00021,SIT-0021,ALM-000061,2026-08-01 06:49:40,2026-08-01 12:49:40,,Preventiva,P2,En terreno,PRV-01,219,477621.05,8
OT-00022,SIT-0028,ALM-000064,2026-08-01 07:10:09,2026-08-01 13:10:09,2026-08-03 05:10:09,Correctiva,P3,Completada,PRV-02,266,1205761.73,24
OT-00023,SIT-0035,ALM-000067,2026-08-01 07:30:38,2026-08-01 13:30:38,2026-08-01 16:30:38,Correctiva,P3,Completada,PRV-03,313,590204.36,24
OT-00024,SIT-0042,ALM-000070,2026-08-01 07:51:07,2026-08-01 13:51:07,,Emergencia,P4,Cancelada,PRV-04,360,2297922.58,72
OT-00025,SIT-0049,ALM-000073,2026-08-01 08:11:36,2026-08-01 14:11:36,,Preventiva,P1,Creada,PRV-05,407,1239192.66,2
OT-00026,SIT-0056,ALM-000076,2026-08-01 08:32:05,2026-08-01 14:32:05,,Correctiva,P2,Asignada,PRV-01,454,276030.11,8
OT-00027,SIT-0003,ALM-000079,2026-08-01 08:52:34,2026-08-01 14:52:34,,Correctiva,P2,En terreno,PRV-02,501,192631.95,8
OT-00028,SIT-0010,ALM-000082,2026-08-01 09:13:03,2026-08-01 15:13:03,2026-08-02 01:13:03,Emergencia,P3,Completada,PRV-03,548,226528.02,24
OT-00029,SIT-0017,ALM-000085,2026-08-01 09:33:32,2026-08-01 15:33:32,2026-08-02 12:33:32,Preventiva,P3,Completada,PRV-04,595,1100032.61,24
OT-00030,SIT-0024,ALM-000088,2026-08-01 09:54:01,2026-08-01 15:54:01,,Correctiva,P4,Cancelada,PRV-05,642,1696544.72,72
OT-00031,SIT-0031,ALM-000091,2026-08-01 10:14:30,2026-08-01 16:14:30,,Correctiva,P1,Creada,PRV-01,689,1327021.25,2
OT-00032,SIT-0038,ALM-000094,2026-08-01 10:34:59,2026-08-01 16:34:59,,Emergencia,P2,Asignada,PRV-02,15,208493.24,8
OT-00033,SIT-0045,ALM-000097,2026-08-01 10:55:28,2026-08-01 16:55:28,,Preventiva,P2,En terreno,PRV-03,62,1580189.92,8
OT-00034,SIT-0052,,2026-08-01 11:15:57,2026-08-01 17:15:57,2026-08-02 21:15:57,Correctiva,P3,Completada,PRV-04,109,654111.55,24
OT-00035,SIT-0059,,2026-08-01 11:36:26,2026-08-01 17:36:26,2026-08-03 08:36:26,Correctiva,P3,Completada,PRV-05,156,1472127.63,24
OT-00036,SIT-0006,,2026-08-01 11:56:55,2026-08-01 17:56:55,,Emergencia,P4,Cancelada,PRV-01,203,2035444.02,72
OT-00037,SIT-0013,,2026-08-01 12:17:24,2026-08-01 18:17:24,,Preventiva,P1,Creada,PRV-02,250,189583.55,2
OT-00038,SIT-0020,,2026-08-01 12:37:53,2026-08-01 18:37:53,,Correctiva,P2,Asignada,PRV-03,297,436535.70,8
OT-00039,SIT-0027,,2026-08-01 12:58:22,2026-08-01 18:58:22,,Correctiva,P2,En terreno,PRV-04,344,187647.98,8
OT-00040,SIT-0034,,2026-08-01 13:18:51,2026-08-01 19:18:51,2026-08-03 17:18:51,Emergencia,P3,Completada,PRV-05,391,1232258.63,24
OT-00041,SIT-0041,ALM-000121,2026-08-01 13:39:20,2026-08-01 19:39:20,2026-08-02 04:39:20,Preventiva,P3,Completada,PRV-01,438,242632.93,24
OT-00042,SIT-0048,ALM-000124,2026-08-01 13:59:49,2026-08-01 19:59:49,,Correctiva,P4,Cancelada,PRV-02,485,508865.40,72
OT-00043,SIT-0055,ALM-000127,2026-08-01 14:20:18,2026-08-01 20:20:18,,Correctiva,P1,Creada,PRV-03,532,1425538.38,2
OT-00044,SIT-0002,ALM-000130,2026-08-01 14:40:47,2026-08-01 20:40:47,,Emergencia,P2,Asignada,PRV-04,579,1262216.08,8
OT-00045,SIT-0009,ALM-000133,2026-08-01 15:01:16,2026-08-01 21:01:16,,Preventiva,P2,En terreno,PRV-05,626,653926.59,8
OT-00046,SIT-0016,ALM-000136,2026-08-01 15:21:45,2026-08-01 21:21:45,2026-08-02 13:21:45,Correctiva,P3,Completada,PRV-01,673,1685572.04,24
OT-00047,SIT-0023,ALM-000139,2026-08-01 15:42:14,2026-08-01 21:42:14,2026-08-03 00:42:14,Correctiva,P3,Completada,PRV-02,720,2117138.75,24
OT-00048,SIT-0030,ALM-000142,2026-08-01 16:02:43,2026-08-01 22:02:43,,Emergencia,P4,Cancelada,PRV-03,46,3496896.94,72
OT-00049,SIT-0037,ALM-000145,2026-08-01 16:23:12,2026-08-01 22:23:12,,Preventiva,P1,Creada,PRV-04,93,177837.08,2
OT-00050,SIT-0044,ALM-000148,2026-08-01 16:43:41,2026-08-01 22:43:41,,Correctiva,P2,Asignada,PRV-05,140,2299425.54,8
OT-00051,SIT-0051,ALM-000151,2026-08-01 17:04:10,2026-08-01 23:04:10,,Correctiva,P2,En terreno,PRV-01,187,158894.89,8
OT-00052,SIT-0058,ALM-000154,2026-08-01 17:24:39,2026-08-01 23:24:39,2026-08-03 09:24:39,Emergencia,P3,Completada,PRV-02,234,2064169.11,24
OT-00053,SIT-0005,ALM-000157,2026-08-01 17:45:08,2026-08-01 23:45:08,2026-08-03 20:45:08,Preventiva,P3,Completada,PRV-03,281,729918.19,24
OT-00054,SIT-0012,,2026-08-01 18:05:37,2026-08-02 00:05:37,,Correctiva,P4,Cancelada,PRV-04,328,483330.63,72
OT-00055,SIT-0019,,2026-08-01 18:26:06,2026-08-02 00:26:06,,Correctiva,P1,Creada,PRV-05,375,249961.97,2
OT-00056,SIT-0026,,2026-08-01 18:46:35,2026-08-02 00:46:35,,Emergencia,P2,Asignada,PRV-01,422,2725307.51,8
OT-00057,SIT-0033,,2026-08-01 19:07:04,2026-08-02 01:07:04,,Preventiva,P2,En terreno,PRV-02,469,1148299.26,8
OT-00058,SIT-0040,,2026-08-01 19:27:33,2026-08-02 01:27:33,2026-08-02 05:27:33,Correctiva,P3,Completada,PRV-03,516,438854.43,24
OT-00059,SIT-0047,,2026-08-01 19:48:02,2026-08-02 01:48:02,2026-08-02 16:48:02,Correctiva,P3,Completada,PRV-04,563,150534.12,24
OT-00060,SIT-0054,,2026-08-01 20:08:31,2026-08-02 02:08:31,,Emergencia,P4,Cancelada,PRV-05,610,618607.88,72
OT-00061,SIT-0001,ALM-000181,2026-08-01 20:29:00,2026-08-02 02:29:00,,Preventiva,P1,Creada,PRV-01,657,555414.04,2
OT-00062,SIT-0008,ALM-000184,2026-08-01 20:49:29,2026-08-02 02:49:29,,Correctiva,P2,Asignada,PRV-02,704,834235.90,8
OT-00063,SIT-0015,ALM-000187,2026-08-01 21:09:58,2026-08-02 03:09:58,,Correctiva,P2,En terreno,PRV-03,30,2245314.73,8
OT-00064,SIT-0022,ALM-000190,2026-08-01 21:30:27,2026-08-02 03:30:27,2026-08-03 01:30:27,Emergencia,P3,Completada,PRV-04,77,163813.53,24
OT-00065,SIT-0029,ALM-000193,2026-08-01 21:50:56,2026-08-02 03:50:56,2026-08-03 12:50:56,Preventiva,P3,Completada,PRV-05,124,1412153.02,24
OT-00066,SIT-0036,ALM-000196,2026-08-01 22:11:25,2026-08-02 04:11:25,,Correctiva,P4,Cancelada,PRV-01,171,193535.29,72
OT-00067,SIT-0043,ALM-000199,2026-08-01 22:31:54,2026-08-02 04:31:54,,Correctiva,P1,Creada,PRV-02,218,152661.05,2
OT-00068,SIT-0050,ALM-000202,2026-08-01 22:52:23,2026-08-02 04:52:23,,Emergencia,P2,Asignada,PRV-03,265,194482.22,8
OT-00069,SIT-0057,ALM-000205,2026-08-01 23:12:52,2026-08-02 05:12:52,,Preventiva,P2,En terreno,PRV-04,312,454391.43,8
OT-00070,SIT-0004,ALM-000208,2026-08-01 23:33:21,2026-08-02 05:33:21,2026-08-03 21:33:21,Correctiva,P3,Completada,PRV-05,359,2249969.71,24
OT-00071,SIT-0011,ALM-000211,2026-08-01 23:53:50,2026-08-02 05:53:50,2026-08-02 08:53:50,Correctiva,P3,Completada,PRV-01,406,1526869.05,24
OT-00072,SIT-0018,ALM-000214,2026-08-02 00:14:19,2026-08-02 06:14:19,,Emergencia,P4,Cancelada,PRV-02,453,417282.47,72
OT-00073,SIT-0025,ALM-000217,2026-08-02 00:34:48,2026-08-02 06:34:48,,Preventiva,P1,Creada,PRV-03,500,154063.16,2
OT-00074,SIT-0032,,2026-08-02 00:55:17,2026-08-02 06:55:17,,Correctiva,P2,Asignada,PRV-04,547,283214.02,8
OT-00075,SIT-0039,,2026-08-02 01:15:46,2026-08-02 07:15:46,,Correctiva,P2,En terreno,PRV-05,594,761274.02,8
OT-00076,SIT-0046,,2026-08-02 01:36:15,2026-08-02 07:36:15,2026-08-02 17:36:15,Emergencia,P3,Completada,PRV-01,641,1069789.27,24
OT-00077,SIT-0053,,2026-08-02 01:56:44,2026-08-02 07:56:44,2026-08-03 04:56:44,Preventiva,P3,Completada,PRV-02,688,539972.55,24
OT-00078,SIT-0060,,2026-08-02 02:17:13,2026-08-02 08:17:13,,Correctiva,P4,Cancelada,PRV-03,14,2477095.75,72
OT-00079,SIT-0007,,2026-08-02 02:37:42,2026-08-02 08:37:42,,Correctiva,P1,Creada,PRV-04,61,696588.17,2
OT-00080,SIT-0014,,2026-08-02 02:58:11,2026-08-02 08:58:11,,Emergencia,P2,Asignada,PRV-05,108,149144.12,8
OT-00081,SIT-0021,ALM-000241,2026-08-02 03:18:40,2026-08-02 09:18:40,,Preventiva,P2,En terreno,PRV-01,155,213924.04,8
OT-00082,SIT-0028,ALM-000244,2026-08-02 03:39:09,2026-08-02 09:39:09,2026-08-03 13:39:09,Correctiva,P3,Completada,PRV-02,202,1001742.96,24
OT-00083,SIT-0035,ALM-000247,2026-08-02 03:59:38,2026-08-02 09:59:38,2026-08-04 00:59:38,Correctiva,P3,Completada,PRV-03,249,261461.12,24
OT-00084,SIT-0042,ALM-000250,2026-08-02 04:20:07,2026-08-02 10:20:07,,Emergencia,P4,Cancelada,PRV-04,296,1522842.88,72
