alarm_id,cell_id,opened_at,closed_at,alarm_type,severity,alarm_status,probable_cause,service_impact,affected_users_est,source_system
ALM-000001,CEL-99999,2026-08-01 00:00:00,2026-07-31 22:00:00,Energía,Urgente,Cerrada,Falla de suministro,true,900,NMS
ALM-000002,CEL-00018,2026-08-01 00:13:11,2026-08-01 14:13:11,Transporte,Alta,Cerrada,Pérdida de enlace,true,449,RAN Monitor
ALM-000003,CEL-00035,2026-08-01 00:26:22,2026-08-02 03:26:22,Radio,Alta,Cerrada,Interferencia,true,478,Energy Monitor
ALM-000004,CEL-00052,2026-08-01 00:39:33,2026-08-02 16:39:33,Saturación,Media,Cerrada,Alta demanda,false,207,NMS
ALM-000005,CEL-00069,2026-08-01 00:52:44,2026-08-03 05:52:44,Hardware,Media,Cerrada,Módulo degradado,false,236,RAN Monitor
ALM-000006,CEL-00086,2026-08-01 01:05:55,2026-08-03 19:05:55,Software,Baja,Cerrada,Error de configuración,false,170,Energy Monitor
ALM-000007,CEL-00103,2026-08-01 01:19:06,2026-08-01 08:19:06,Energía,Crítica,Cerrada,Falla de suministro,true,1074,NMS
ALM-000008,CEL-00120,2026-08-01 01:32:17,,Transporte,Alta,Reconocida,Pérdida de enlace,true,423,RAN Monitor
ALM-000009,CEL-00137,2026-08-01 01:45:28,,Radio,Alta,Reconocida,Interferencia,true,452,Energy Monitor
ALM-000010,CEL-00154,2026-08-01 01:58:39,,Saturación,Media,Abierta,Alta demanda,false,181,NMS
ALM-000011,CEL-00171,2026-08-01 02:11:50,2026-08-03 13:11:50,Hardware,Media,Cerrada,Módulo degradado,false,210,RAN Monitor
ALM-000012,CEL-00008,2026-08-01 02:25:01,2026-08-04 02:25:01,Software,Baja,Cerrada,Error de configuración,false,144,Energy Monitor
ALM-000013,CEL-00025,2026-08-01 02:38:12,2026-08-01 15:38:12,Energía,Crítica,Cerrada,Falla de suministro,true,1048,NMS
ALM-000014,CEL-00042,2026-08-01 02:51:23,2026-08-02 04:51:23,Transporte,Alta,Cerrada,Pérdida de enlace,true,597,RAN Monitor
ALM-000015,CEL-00059,2026-08-01 03:04:34,2026-08-02 18:04:34,Radio,Alta,Cerrada,Interferencia,true,426,Energy Monitor
ALM-000016,CEL-00076,2026-08-01 03:17:45,2026-08-03 07:17:45,Saturación,Media,Cerrada,Alta demanda,false,155,NMS
ALM-000017,CEL-00093,2026-08-01 03:30:56,2026-08-03 20:30:56,Hardware,Media,Cerrada,Módulo degradado,false,184,RAN Monitor
ALM-000018,CEL-00110,2026-08-01 03:44:07,,Software,Baja,Reconocida,Error de configuración,false,118,Energy Monitor
ALM-000019,CEL-00127,2026-08-01 03:57:18,,Energía,Crítica,Reconocida,Falla de suministro,true,1022,NMS
ALM-000020,CEL-00144,2026-08-01 04:10:29,,Transporte,Alta,Abierta,Pérdida de enlace,true,571,RAN Monitor
ALM-000021,CEL-00161,2026-08-01 04:23:40,2026-08-03 01:23:40,Radio,Alta,Cerrada,Interferencia,true,600,Energy Monitor
ALM-000022,CEL-00178,2026-08-01 04:36:51,2026-08-03 14:36:51,Saturación,Media,Cerrada,Alta demanda,true,129,NMS
ALM-000023,CEL-00015,2026-08-01 04:50:02,2026-08-04 03:50:02,Hardware,Media,Cerrada,Módulo degradado,false,158,RAN Monitor
ALM-000024,CEL-00032,2026-08-01 05:03:13,2026-08-01 17:03:13,Software,Baja,Cerrada,Error de configuración,false,92,Energy Monitor
ALM-000025,CEL-00049,2026-08-01 05:16:24,2026-08-02 06:16:24,Energía,Crítica,Cerrada,Falla de suministro,true,996,NMS
ALM-000026,CEL-00066,2026-08-01 05:29:35,2026-08-02 19:29:35,Transporte,Alta,Cerrada,Pérdida de enlace,true,545,RAN Monitor
ALM-000027,CEL-00083,2026-08-01 05:42:46,2026-08-03 08:42:46,Radio,Alta,Cerrada,Interferencia,true,574,Energy Monitor
ALM-000028,CEL-00100,2026-08-01 05:55:57,,Saturación,Media,Reconocida,Alta demanda,false,303,NMS
ALM-000029,CEL-00117,2026-08-01 06:09:08,,Hardware,Media,Reconocida,Módulo degradado,true,132,RAN Monitor
ALM-000030,CEL-00134,2026-08-01 06:22:19,,Software,Baja,Abierta,Error de configuración,false,66,Energy Monitor
ALM-000031,CEL-00151,2026-08-01 06:35:30,2026-08-02 13:35:30,Energía,Crítica,Cerrada,Falla de suministro,true,970,NMS
ALM-000032,CEL-00168,2026-08-01 06:48:41,2026-08-03 02:48:41,Transporte,Alta,Cerrada,Pérdida de enlace,true,519,RAN Monitor
ALM-000033,CEL-00005,2026-08-01 07:01:52,2026-08-03 16:01:52,Radio,Alta,Cerrada,Interferencia,true,548,Energy Monitor
ALM-000034,CEL-00022,2026-08-01 07:15:03,2026-08-04 05:15:03,Saturación,Media,Cerrada,Alta demanda,false,277,NMS
ALM-000035,CEL-00039,2026-08-01 07:28:14,2026-08-01 18:28:14,Hardware,Media,Cerrada,Módulo degradado,false,306,RAN Monitor
ALM-000036,CEL-00056,2026-08-01 07:41:25,2026-08-02 07:41:25,Software,Baja,Cerrada,Error de configuración,true,40,Energy Monitor
ALM-000037,CEL-00073,2026-08-01 07:54:36,2026-08-02 20:54:36,Energía,Crítica,Cerrada,Falla de suministro,true,944,NMS
ALM-000038,CEL-00090,2026-08-01 08:07:47,,Transporte,Alta,Reconocida,Pérdida de enlace,true,493,RAN Monitor
ALM-000039,CEL-00107,2026-08-01 08:20:58,,Radio,Alta,Reconocida,Interferencia,true,522,Energy Monitor
ALM-000040,CEL-00124,2026-08-01 08:34:09,,Saturación,Media,Abierta,Alta demanda,false,251,NMS
ALM-000041,CEL-00141,2026-08-01 08:47:20,2026-08-02 01:47:20,Hardware,Media,Cerrada,Módulo degradado,false,280,RAN Monitor
ALM-000042,CEL-00158,2026-08-01 09:00:31,2026-08-02 15:00:31,Software,Baja,Cerrada,Error de configuración,false,214,Energy Monitor
ALM-000043,CEL-00175,2026-08-01 09:13:42,2026-08-03 04:13:42,Energía,Crítica,Cerrada,Falla de suministro,true,918,NMS
ALM-000044,CEL-00012,2026-08-01 09:26:53,2026-08-03 17:26:53,Transporte,Alta,Cerrada,Pérdida de enlace,true,467,RAN Monitor
ALM-000045,CEL-00029,2026-08-01 09:40:04,2026-08-04 06:40:04,Radio,Alta,Cerrada,Interferencia,true,496,Energy Monitor
ALM-000046,CEL-00046,2026-08-01 09:53:15,2026-08-01 19:53:15,Saturación,Media,Cerrada,Alta demanda,false,225,NMS
