cell_id,site_id,sector_number,azimuth_degrees,technology,frequency_band,bandwidth_mhz,capacity_users,vendor_family,cell_status
CEL-00001,SIT-0001,1,1,4G,B3-1800,15,1272,Proveedor B,Activa
CEL-00002,SIT-0001,2,121,5G,n78-3500,100,3174,Proveedor B,Activa
CEL-00003,SIT-0001,3,241,5G,n78-3500,100,3211,Proveedor B,Activa
CEL-00004,SIT-0002,1,2,4G,B3-1800,15,1383,Proveedor C,Activa
CEL-00005,SIT-0002,2,122,5G,n78-3500,100,3285,Proveedor C,Activa
CEL-00006,SIT-0002,3,242,5G,n78-3500,100,3322,Proveedor C,Activa
CEL-00007,SIT-0003,1,3,4G,B3-1800,15,1494,Proveedor A,Activa
CEL-00008,SIT-0003,2,123,4G,B7-2600,20,1576,Proveedor A,Activa
CEL-00009,SIT-0003,3,243,4G,B7-2600,20,1613,Proveedor A,Activa
CEL-00010,SIT-0004,1,4,4G,B3-1800,15,1605,Proveedor B,Activa
CEL-00011,SIT-0004,2,124,5G,n28-700,40,2967,Proveedor B,Activa
CEL-00012,SIT-0004,3,244,5G,n28-700,40,3004,Proveedor B,Activa
CEL-00013,SIT-0005,1,5,4G,B28-700,10,1671,Proveedor C,Activa
CEL-00014,SIT-0005,2,125,5G,n78-3500,100,3118,Proveedor C,Activa
CEL-00015,SIT-0005,3,245,5G,n78-3500,100,3155,Proveedor C,Activa
CEL-00016,SIT-0006,1,6,4G,B3-1800,15,1327,Proveedor A,Activa
CEL-00017,SIT-0006,2,126,4G,B7-2600,20,1409,Proveedor A,Activa
CEL-00018,SIT-0006,3,246,4G,B7-2600,20,1446,Proveedor A,Activa
CEL-00019,SIT-0007,1,7,4G,B3-1800,15,1438,Proveedor B,Activa
CEL-00020,SIT-0007,2,127,5G,n78-3500,100,3340,Proveedor B,Activa
CEL-00021,SIT-0007,3,247,5G,n78-3500,100,3377,Proveedor B,Activa
CEL-00022,SIT-0008,1,8,4G,B3-1800,15,1549,Proveedor C,Activa
CEL-00023,SIT-0008,2,128,5G,n28-700,40,2911,Proveedor C,Activa
CEL-00024,SIT-0008,3,248,5G,n28-700,40,2948,Proveedor C,Activa
CEL-00025,SIT-0009,1,9,4G,B3-1800,15,1660,Proveedor A,Activa
CEL-00026,SIT-0009,2,129,4G,B7-2600,20,1742,Proveedor A,Activa
CEL-00027,SIT-0009,3,249,4G,B7-2600,20,1779,Proveedor A,Activa
CEL-00028,SIT-0010,1,10,4G,B28-700,10,1226,Proveedor B,Activa
CEL-00029,SIT-0010,2,130,5G,n78-3500,100,3173,Proveedor B,Activa
CEL-00030,SIT-0010,3,250,5G,n78-3500,100,3210,Proveedor B,Activa
CEL-00031,SIT-0011,1,0,4G,B3-1800,15,1382,Proveedor C,Activa
