subscription_id,customer_id,product_id,line_id,start_date,end_date,subscription_status,contract_type,is_port_in,is_esim,autopay_enabled,monthly_fee_clp,billing_day
SUB-000001,CLI-999999,PRD-999,LIN-000001,2019-01-01,2018-12-22,Baja,24 meses,true,true,true,-9990.00,1
SUB-000002,CLI-000002,PRD-003,LIN-000002,2019-01-30,,Activa,Prepago,true,false,false,9490.50,
SUB-000003,CLI-000003,PRD-010,LIN-000003,2019-02-28,,Activa,Sin permanencia,true,true,true,23391.00,15
SUB-000004,CLI-000004,PRD-005,LIN-000004,2019-03-29,,Activa,Sin permanencia,true,false,true,9990.00,22
SUB-000005,CLI-000005,PRD-012,LIN-000005,2019-04-27,,Activa,24 meses,false,false,true,33240.50,1
SUB-000006,CLI-000006,PRD-007,LIN-000006,2019-05-26,,Activa,12 meses,false,false,true,14391.00,8
SUB-000007,CLI-000007,PRD-002,LIN-000007,2019-06-24,,Activa,Prepago,false,false,false,7990.00,
SUB-000008,CLI-000008,PRD-009,LIN-000008,2019-07-23,,Activa,Sin permanencia,false,false,false,20890.50,22
SUB-000009,CLI-000009,PRD-004,LIN-000009,2019-08-21,,Activa,Prepago,false,false,false,11691.00,
SUB-000010,CLI-000010,PRD-015,LIN-000010,2019-09-19,,Activa,12 meses,false,false,false,44990.00,8
SUB-000011,CLI-000011,PRD-006,LIN-000011,2019-10-18,,Activa,Sin permanencia,true,true,true,12340.50,15
SUB-000012,CLI-000012,PRD-001,LIN-000012,2019-11-16,,Activa,Prepago,true,false,false,5391.00,
SUB-000013,CLI-000013,PRD-008,LIN-000013,2019-12-15,,Activa,24 meses,true,true,true,18990.00,1
SUB-000014,CLI-000014,PRD-003,LIN-000014,2020-01-13,,Activa,Prepago,true,false,false,9490.50,
SUB-000015,CLI-000015,PRD-010,LIN-000015,2020-02-11,,Activa,Sin permanencia,false,false,true,23391.00,15
SUB-000016,CLI-000016,PRD-005,LIN-000016,2020-03-11,,Activa,Sin permanencia,false,false,true,9990.00,22
SUB-000017,CLI-000017,PRD-012,LIN-000017,2020-04-09,,Activa,24 meses,false,false,false,33240.50,1
SUB-000018,CLI-000018,PRD-007,LIN-000018,2020-05-08,,Activa,12 meses,false,false,false,14391.00,8
SUB-000019,CLI-000019,PRD-002,LIN-000019,2020-06-06,,Activa,Prepago,false,false,false,7990.00,
SUB-000020,CLI-000020,PRD-013,LIN-000020,2020-07-05,,Activa,Sin permanencia,false,false,false,18990.50,22
SUB-000021,CLI-000021,PRD-004,LIN-000021,2020-08-03,,Activa,Prepago,true,false,false,11691.00,
SUB-000022,CLI-000022,PRD-011,LIN-000022,2020-09-01,,Activa,12 meses,true,true,true,29990.00,8
SUB-000023,CLI-000023,PRD-006,LIN-000023,2020-09-30,,Activa,Sin permanencia,true,true,true,12340.50,15
SUB-000024,CLI-000024,PRD-001,LIN-000024,2020-10-29,,Activa,Prepago,true,false,false,5391.00,
SUB-000025,CLI-000025,PRD-008,LIN-000025,2020-11-27,,Activa,24 meses,false,false,true,18990.00,1
SUB-000026,CLI-000026,PRD-003,LIN-000026,2020-12-26,,Activa,Prepago,false,false,false,9490.50,
SUB-000027,CLI-000027,PRD-010,LIN-000027,2021-01-24,,Activa,Sin permanencia,false,false,false,23391.00,15
SUB-000028,CLI-000028,PRD-005,LIN-000028,2021-02-22,,Activa,Sin permanencia,false,false,false,9990.00,22
SUB-000029,CLI-000029,PRD-012,LIN-000029,2021-03-23,,Activa,24 meses,false,false,false,33240.50,1
SUB-000030,CLI-000030,PRD-015,LIN-000030,2021-04-21,,Activa,12 meses,false,false,false,40491.00,8
SUB-000031,CLI-000031,PRD-002,LIN-000031,2021-05-20,,Activa,Prepago,true,false,false,7990.00,
SUB-000032,CLI-000032,PRD-009,LIN-000032,2021-06-18,,Activa,Sin permanencia,true,true,true,20890.50,22
SUB-000033,CLI-000033,PRD-004,LIN-000033,2021-07-17,,Activa,Prepago,true,false,false,11691.00,
SUB-000034,CLI-000034,PRD-011,LIN-000034,2021-08-15,,Activa,12 meses,true,false,true,29990.00,8
SUB-000035,CLI-000035,PRD-006,LIN-000035,2021-09-13,,Activa,Sin permanencia,false,false,true,12340.50,15
SUB-000036,CLI-000036,PRD-001,LIN-000036,2021-10-12,,Activa,Prepago,false,false,false,5391.00,
SUB-000037,CLI-000037,PRD-008,LIN-000037,2021-11-10,,Activa,24 meses,false,false,false,18990.00,1
SUB-000038,CLI-000038,PRD-003,LIN-000038,2021-12-09,,Activa,Prepago,false,false,false,9490.50,
SUB-000039,CLI-000039,PRD-010,LIN-000039,2022-01-07,,Activa,Sin permanencia,false,false,false,23391.00,15
SUB-000040,CLI-000040,PRD-013,LIN-000040,2022-02-05,,Activa,Sin permanencia,false,false,false,19990.00,22
SUB-000041,CLI-000041,PRD-012,LIN-000041,2022-03-06,,Activa,24 meses,true,true,true,33240.50,1
SUB-000042,CLI-000042,PRD-007,LIN-000042,2022-04-04,,Activa,12 meses,true,true,true,14391.00,8
SUB-000043,CLI-000043,PRD-002,LIN-000043,2022-05-03,,Activa,Prepago,true,false,false,7990.00,
SUB-000044,CLI-000044,PRD-009,LIN-000044,2022-06-01,,Activa,Sin permanencia,true,false,true,20890.50,22
SUB-000045,CLI-000045,PRD-004,LIN-000045,2022-06-30,,Activa,Prepago,false,false,false,11691.00,
SUB-000046,CLI-000046,PRD-011,LIN-000046,2022-07-29,,Activa,12 meses,false,false,true,29990.00,8
SUB-000047,CLI-000047,PRD-006,LIN-000047,2022-08-27,,Activa,Sin permanencia,false,false,false,12340.50,15
SUB-000048,CLI-000048,PRD-001,LIN-000048,2022-09-25,,Suspendida,Prepago,false,false,false,5391.00,
SUB-000049,CLI-000049,PRD-008,LIN-000049,2022-10-24,,Activa,24 meses,false,false,false,18990.00,1
SUB-000050,CLI-000050,PRD-015,LIN-000050,2022-11-22,,Activa,12 meses,false,false,false,42740.50,8
SUB-000051,CLI-000051,PRD-010,LIN-000051,2022-12-21,,Activa,Sin permanencia,true,true,true,23391.00,15
SUB-000052,CLI-000052,PRD-005,LIN-000052,2023-01-19,,Activa,Sin permanencia,true,false,true,9990.00,22
SUB-000053,CLI-000053,PRD-012,LIN-000053,2023-02-17,,Activa,24 meses,true,true,true,33240.50,1
SUB-000054,CLI-000054,PRD-007,LIN-000054,2023-03-18,,Activa,12 meses,true,false,true,14391.00,8
SUB-000055,CLI-000055,PRD-002,LIN-000055,2023-04-16,,Activa,Prepago,false,false,false,7990.00,
SUB-000056,CLI-000056,PRD-009,LIN-000056,2023-05-15,,Activa,Sin permanencia,false,false,true,20890.50,22
SUB-000057,CLI-000057,PRD-004,LIN-000057,2023-06-13,,Activa,Prepago,false,false,false,11691.00,
SUB-000058,CLI-000058,PRD-011,LIN-000058,2023-07-12,,Activa,12 meses,false,false,false,29990.00,8
SUB-000059,CLI-000059,PRD-006,LIN-000059,2023-08-10,,Activa,Sin permanencia,false,false,false,12340.50,15
SUB-000060,CLI-000060,PRD-013,LIN-000060,2023-09-08,,Activa,Sin permanencia,false,false,false,17991.00,22
SUB-000061,CLI-000061,PRD-008,LIN-000061,2023-10-07,,Activa,24 meses,true,true,true,18990.00,1
SUB-000062,CLI-000062,PRD-003,LIN-000062,2023-11-05,,Activa,Prepago,true,false,false,9490.50,
