ticket_id,customer_id,subscription_id,cell_id,created_at,resolved_at,category,severity,ticket_status,channel,first_contact_resolution,sla_target_hours,resolution_hours,post_service_csat
TKT-000001,CLI-999999,SUB-999999,CEL-99999,2026-08-01 00:00:00,2026-07-31 23:00:00,,Crítica,Cerrado,App,true,4,-3.0,
TKT-000002,CLI-000018,SUB-000018,CEL-00127,2026-08-01 00:12:23,2026-08-02 14:12:23,Velocidad,Alta,Cerrado,Web,true,8,37.67,3
TKT-000003,CLI-000035,SUB-000035,CEL-00066,2026-08-01 00:24:46,2026-08-03 13:24:46,Llamadas,Alta,Cerrado,Call center,true,8,60.28,2
TKT-000004,CLI-000052,SUB-000052,,2026-08-01 00:37:09,2026-08-01 21:37:09,Facturación,Media,Cerrado,Tienda,true,24,20.43,4
TKT-000005,CLI-000069,SUB-000069,,2026-08-01 00:49:32,2026-08-03 01:49:32,Plan,Media,Cerrado,WhatsApp,true,24,48.92,
TKT-000006,CLI-000086,SUB-000086,,2026-08-01 01:01:55,2026-08-02 16:01:55,Portabilidad,Baja,Resuelto,App,true,72,38.21,3
TKT-000007,CLI-000103,SUB-000103,CEL-00002,2026-08-01 01:14:18,2026-08-04 01:14:18,Cobertura,Crítica,Resuelto,Web,false,4,71.94,2
TKT-000008,CLI-000120,SUB-000120,CEL-00121,2026-08-01 01:26:41,,Velocidad,Alta,En progreso,Call center,,8,,
TKT-000009,CLI-000137,SUB-000137,CEL-00060,2026-08-01 01:39:04,,Llamadas,Alta,En progreso,Tienda,,8,,
TKT-000010,CLI-000154,SUB-000154,,2026-08-01 01:51:27,,Facturación,Media,Abierto,WhatsApp,,24,,
TKT-000011,CLI-000171,SUB-000171,,2026-08-01 02:03:50,2026-08-01 09:03:50,Plan,Media,Cerrado,App,true,24,6.9,5
TKT-000012,CLI-000188,SUB-000188,,2026-08-01 02:16:13,2026-08-04 00:16:13,Portabilidad,Baja,Cerrado,Web,true,72,69.88,2
TKT-000013,CLI-000205,SUB-000205,CEL-00176,2026-08-01 02:28:36,2026-08-03 12:28:36,Cobertura,Crítica,Cerrado,Call center,true,4,57.72,
TKT-000014,CLI-000222,SUB-000222,CEL-00115,2026-08-01 02:40:59,2026-08-02 12:40:59,Velocidad,Alta,Cerrado,Tienda,true,8,33.39,4
TKT-000015,CLI-000239,SUB-000239,CEL-00054,2026-08-01 02:53:22,2026-08-03 04:53:22,Llamadas,Alta,Cerrado,WhatsApp,true,8,49.56,3
TKT-000016,CLI-000256,SUB-000256,,2026-08-01 03:05:45,2026-08-02 08:05:45,Facturación,Media,Resuelto,App,true,24,28.07,4
TKT-000017,CLI-000273,SUB-000273,,2026-08-01 03:18:08,2026-08-03 16:18:08,Plan,Media,Resuelto,Web,false,24,60.28,
TKT-000018,CLI-000290,SUB-000290,,2026-08-01 03:30:31,,Portabilidad,Baja,En progreso,Call center,,72,,
TKT-000019,CLI-000307,SUB-000307,CEL-00170,2026-08-01 03:42:54,,Cobertura,Crítica,En progreso,Tienda,,4,,
TKT-000020,CLI-000324,SUB-000324,CEL-00109,2026-08-01 03:55:17,,Velocidad,Alta,Abierto,WhatsApp,,8,,
TKT-000021,CLI-000341,SUB-000341,CEL-00048,2026-08-01 04:07:40,2026-08-03 11:07:40,Llamadas,Alta,Cerrado,App,true,8,54.36,
TKT-000022,CLI-000358,SUB-000358,,2026-08-01 04:20:03,2026-08-03 09:20:03,Facturación,Media,Cerrado,Web,true,24,52.51,3
TKT-000023,CLI-000375,SUB-000375,,2026-08-01 04:32:26,2026-08-01 08:32:26,Plan,Media,Cerrado,Call center,true,24,3.12,5
TKT-000024,CLI-000392,SUB-000392,,2026-08-01 04:44:49,2026-08-03 03:44:49,Portabilidad,Baja,Cerrado,Tienda,true,72,46.15,3
TKT-000025,CLI-000409,SUB-000409,CEL-00164,2026-08-01 04:57:12,2026-08-01 12:57:12,Cobertura,Crítica,Cerrado,WhatsApp,true,4,7.28,
TKT-000026,CLI-000426,SUB-000426,CEL-00103,2026-08-01 05:09:35,2026-08-03 18:09:35,Velocidad,Alta,Resuelto,App,true,8,60.73,2
TKT-000027,CLI-000443,SUB-000443,CEL-00042,2026-08-01 05:21:58,2026-08-02 17:21:58,Llamadas,Alta,Resuelto,Web,false,8,35.69,4
TKT-000028,CLI-000460,SUB-000460,,2026-08-01 05:34:21,,Facturación,Media,En progreso,Call center,,24,,
TKT-000029,CLI-000477,SUB-000477,,2026-08-01 05:46:44,,Plan,Media,En progreso,Tienda,,24,,
TKT-000030,CLI-000494,SUB-000494,,2026-08-01 05:59:07,,Portabilidad,Baja,Abierto,WhatsApp,,72,,
TKT-000031,CLI-000511,SUB-000511,CEL-00158,2026-08-01 06:11:30,2026-08-03 12:11:30,Cobertura,Crítica,Cerrado,App,true,4,53.18,3
TKT-000032,CLI-000528,SUB-000528,CEL-00097,2026-08-01 06:23:53,2026-08-02 22:23:53,Velocidad,Alta,Cerrado,Web,true,8,39.9,3
TKT-000033,CLI-000545,SUB-000545,CEL-00036,2026-08-01 06:36:16,2026-08-03 23:36:16,Llamadas,Alta,Cerrado,Call center,true,8,64.51,
