usage_date,subscription_id,primary_cell_id,data_gb,voice_minutes,sms_count,data_5g_pct,roaming_data_mb,dropped_calls,recharge_amount_clp,billed_amount_clp,ingestion_batch_id
2026-08-01,SUB-999999,,-1.5,10.92,0,130.0,677.56,0,,2334.00,USAGE-20260801
2026-08-02,SUB-000001,CEL-00019,5.69,6.15,13,90.1,0.0,0,,1816.00,USAGE-20260802
2026-08-03,SUB-000001,CEL-00030,6.296,6.99,8,63.01,0.0,2,,2240.20,USAGE-20260803
2026-08-04,SUB-000001,CEL-00041,3.221,8.05,3,84.6,0.0,1,,633.00,USAGE-20260804
2026-08-05,SUB-000001,CEL-00052,5.42,4.53,16,80.98,0.0,0,,1627.00,USAGE-20260805
2026-08-06,SUB-000001,CEL-00063,4.594,9.88,11,45.36,0.0,1,,1048.80,USAGE-20260806
2026-08-07,SUB-000001,CEL-00074,7.195,7.32,6,45.56,0.0,2,,2869.50,USAGE-20260807
2026-08-08,SUB-000001,CEL-00085,2.722,6.07,1,87.8,0.0,1,,633.00,USAGE-20260808
2026-08-09,SUB-000001,CEL-00096,8.795,2.96,14,43.44,0.0,1,,3989.50,USAGE-20260809
2026-08-10,SUB-000001,CEL-00107,6.098,6.34,9,97.39,0.0,0,,2101.60,USAGE-20260810
2026-08-11,SUB-000001,CEL-00118,4.221,11.61,4,97.55,0.0,1,,787.70,USAGE-20260811
2026-08-12,SUB-000001,CEL-00129,5.469,12.89,17,93.42,0.0,1,,1661.30,USAGE-20260812
2026-08-13,SUB-000001,CEL-00140,3.811,15.43,12,67.69,0.0,1,,633.00,USAGE-20260813
2026-08-14,SUB-000001,CEL-00151,6.296,12.59,7,58.18,0.0,3,,2240.20,USAGE-20260814
2026-08-01,SUB-000002,CEL-00015,3.041,2.96,2,32.44,0.0,0,,0.00,USAGE-20260801
2026-08-02,SUB-000002,CEL-00026,2.967,4.04,15,58.62,0.0,1,,0.00,USAGE-20260802
2026-08-03,SUB-000002,CEL-00037,0.786,21.82,10,30.85,0.0,0,,0.00,USAGE-20260803
2026-08-04,SUB-000002,CEL-00048,2.169,4.25,5,83.55,0.0,1,,0.00,USAGE-20260804
2026-08-05,SUB-000002,CEL-00059,0.92,4.92,0,73.42,0.0,2,,0.00,USAGE-20260805
2026-08-06,SUB-000002,CEL-00070,2.638,4.15,13,27.49,0.0,0,10000.00,10000.00,USAGE-20260806
2026-08-07,SUB-000002,CEL-00081,1.833,3.38,8,75.96,0.0,1,,0.00,USAGE-20260807
2026-08-08,SUB-000002,CEL-00092,2.994,2.13,3,71.99,0.0,0,,0.00,USAGE-20260808
2026-08-09,SUB-000002,CEL-00103,2.46,16.28,16,75.72,0.0,0,,0.00,USAGE-20260809
2026-08-10,SUB-000002,CEL-00114,2.759,2.31,11,51.34,0.0,1,,0.00,USAGE-20260810
2026-08-11,SUB-000002,CEL-00125,2.411,8.93,6,63.28,0.0,1,,0.00,USAGE-20260811
2026-08-12,SUB-000002,CEL-00136,1.447,9.76,1,41.76,0.0,0,,0.00,USAGE-20260812
2026-08-13,SUB-000002,CEL-00147,1.14,17.98,14,58.38,0.0,1,10000.00,10000.00,USAGE-20260813
2026-08-14,SUB-000002,CEL-00158,1.286,5.82,9,87.59,0.0,0,,0.00,USAGE-20260814
2026-08-01,SUB-000003,CEL-00022,11.709,11.43,4,97.71,0.0,1,,4395.97,USAGE-20260801
2026-08-02,SUB-000003,CEL-00033,12.947,10.48,17,33.07,205.92,2,,5262.57,USAGE-20260802
2026-08-03,SUB-000003,CEL-00044,9.8,3.48,12,45.47,0.0,1,,3059.67,USAGE-20260803
2026-08-04,SUB-000003,CEL-00055,4.853,15.55,7,51.46,0.0,0,,866.33,USAGE-20260804
2026-08-05,SUB-000003,CEL-00066,10.197,11.09,2,77.18,0.0,1,,3337.57,USAGE-20260805
2026-08-06,SUB-000003,CEL-00077,8.127,14.96,15,98.92,0.0,2,,1888.57,USAGE-20260806
2026-08-07,SUB-000003,CEL-00088,10.037,13.32,10,99.29,0.0,1,,3225.57,USAGE-20260807
2026-08-08,SUB-000003,CEL-00099,13.459,23.76,5,31.23,0.0,2,,5620.97,USAGE-20260808
2026-08-09,SUB-000003,CEL-00110,5.622,7.61,0,53.79,0.0,0,,866.33,USAGE-20260809
2026-08-10,SUB-000003,CEL-00121,7.095,7.06,13,53.92,0.0,1,,1166.17,USAGE-20260810
2026-08-11,SUB-000003,CEL-00132,4.457,10.93,8,45.65,0.0,2,,866.33,USAGE-20260811
2026-08-12,SUB-000003,CEL-00143,9.63,4.16,3,52.52,0.0,1,,2940.67,USAGE-20260812
2026-08-13,SUB-000003,CEL-00154,5.376,5.99,16,57.64,0.0,0,,866.33,USAGE-20260813
2026-08-14,SUB-000003,CEL-00165,7.496,13.02,11,70.67,0.0,2,,1446.87,USAGE-20260814
2026-08-01,SUB-000004,CEL-00029,1.245,6.91,6,0.0,0.0,1,,737.83,USAGE-20260801
2026-08-02,SUB-000004,CEL-00040,1.211,10.67,1,0.0,0.0,1,,714.03,USAGE-20260802
2026-08-03,SUB-000004,CEL-00051,0.813,17.11,14,0.0,0.0,0,,435.43,USAGE-20260803
2026-08-04,SUB-000004,CEL-00062,1.034,4.35,9,0.0,0.0,1,,590.13,USAGE-20260804
2026-08-05,SUB-000004,CEL-00073,1.085,7.43,4,0.0,0.0,2,,625.83,USAGE-20260805
2026-08-06,SUB-000004,CEL-00084,1.197,11.92,17,0.0,0.0,2,,704.23,USAGE-20260806
2026-08-07,SUB-000004,CEL-00095,0.424,20.41,12,0.0,0.0,2,,333.00,USAGE-20260807
2026-08-08,SUB-000004,CEL-00106,1.38,4.0,7,0.0,0.0,0,,832.33,USAGE-20260808
2026-08-09,SUB-000004,CEL-00117,0.469,20.45,2,0.0,0.0,2,,333.00,USAGE-20260809
2026-08-10,SUB-000004,CEL-00128,1.08,7.74,15,0.0,0.0,2,,622.33,USAGE-20260810
2026-08-11,SUB-000004,CEL-00139,0.84,15.96,10,0.0,0.0,1,,454.33,USAGE-20260811
2026-08-12,SUB-000004,CEL-00150,0.736,16.49,5,0.0,0.0,2,,381.53,USAGE-20260812
2026-08-13,SUB-000004,CEL-00161,0.547,8.43,0,0.0,0.0,2,,333.00,USAGE-20260813
2026-08-14,SUB-000004,CEL-00172,1.142,5.89,13,0.0,0.0,0,,665.73,USAGE-20260814
2026-08-01,SUB-000005,CEL-00036,26.626,6.26,8,53.33,0.0,1,,9304.53,USAGE-20260801
2026-08-02,SUB-000005,CEL-00047,19.995,7.78,3,54.16,0.0,2,,4662.83,USAGE-20260802
2026-08-03,SUB-000005,CEL-00058,7.865,7.51,16,95.08,603.28,0,,1166.33,USAGE-20260803
2026-08-04,SUB-000005,CEL-00069,17.976,8.13,11,64.54,0.0,0,,3249.53,USAGE-20260804
2026-08-05,SUB-000005,CEL-00080,17.369,14.81,6,61.04,0.0,0,,2824.63,USAGE-20260805
2026-08-06,SUB-000005,CEL-00091,19.613,12.86,1,37.18,0.0,1,,4395.43,USAGE-20260806
2026-08-07,SUB-000005,CEL-00102,24.718,16.87,14,64.45,0.0,0,,7968.93,USAGE-20260807
2026-08-08,SUB-000005,CEL-00113,10.944,5.49,9,35.03,0.0,2,,1166.33,USAGE-20260808
2026-08-09,SUB-000005,CEL-00124,27.962,14.0,4,82.61,0.0,0,,10239.73,USAGE-20260809
2026-08-10,SUB-000005,CEL-00135,10.298,6.02,17,77.94,0.0,2,,1166.33,USAGE-20260810
2026-08-11,SUB-000005,CEL-00146,8.019,13.5,12,81.41,0.0,1,,1166.33,USAGE-20260811
2026-08-12,SUB-000005,CEL-00157,10.34,18.24,7,85.37,0.0,2,,1166.33,USAGE-20260812
2026-08-13,SUB-000005,CEL-00168,16.203,21.54,2,70.88,0.0,3,,2008.43,USAGE-20260813
2026-08-14,SUB-000005,CEL-00179,24.729,7.29,15,46.58,0.0,1,,7976.63,USAGE-20260814
2026-08-01,SUB-000006,CEL-00043,5.06,23.17,10,25.77,0.0,1,,2208.33,USAGE-20260801
2026-08-02,SUB-000006,CEL-00054,3.487,19.74,5,49.06,0.0,0,,1107.23,USAGE-20260802
2026-08-03,SUB-000006,CEL-00065,1.443,25.08,0,56.26,0.0,0,,533.00,USAGE-20260803
2026-08-04,SUB-000006,CEL-00076,2.347,10.34,13,70.4,0.0,2,,533.00,USAGE-20260804
2026-08-05,SUB-000006,CEL-00087,3.399,7.7,8,35.81,0.0,0,,1045.63,USAGE-20260805
2026-08-06,SUB-000006,CEL-00098,3.721,15.56,3,73.74,0.0,1,,1271.03,USAGE-20260806
2026-08-07,SUB-000006,CEL-00109,3.059,11.96,16,78.79,0.0,2,,807.63,USAGE-20260807
